maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,5
27,12,0.0,11.6,5,6
27,12,0.0,11.6,5,6
27,12,0.0,11.6,5,7
27,12,0.0,11.6,5,7
27,12,0.0,11.6,5,7
27,12,0.0,11.6,5,7
27,12,0.0,11.6,5,7
27,12,0.0,11.6,5,6
27,12,0.0,11.6,5,6
27,12,0.0,11.6,5,6
27,12,0.0,11.6,5,5
27,12,0.0,11.6,5,5
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,12,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,5
27,16,0.0,11.6,5,6
27,16,0.0,11.6,5,6
27,16,0.0,11.6,5,7
27,16,0.0,11.6,5,7
27,16,0.0,11.6,5,7
27,16,0.0,11.6,5,7
27,16,0.0,11.6,5,7
27,16,0.0,11.6,5,6
27,16,0.0,11.6,5,6
27,16,0.0,11.6,5,6
27,16,0.0,11.6,5,6
27,16,0.0,11.6,5,5
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
27,16,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,5
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,7
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,6
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
25,15,0.0,11.6,5,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,5
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
28,16,0.0,11.6,5,1
28,16,0.0,11.6,5,1
28,16,0.0,11.6,5,1
28,16,0.0,11.6,5,1
28,16,0.0,11.6,5,1
28,16,0.0,11.6,5,1
28,16,0.0,11.6,5,5
28,16,0.0,11.6,5,6
28,16,0.0,11.6,5,6
28,16,0.0,11.6,5,7
28,16,0.0,11.6,5,7
28,16,0.0,11.6,5,7
28,16,0.0,11.6,5,7
28,16,0.0,11.6,5,7
28,16,0.0,11.6,5,6
28,16,0.0,11.6,5,6
28,16,0.0,11.6,5,6
28,16,0.0,11.6,5,6
28,16,0.0,11.6,5,5
28,16,0.0,11.6,5,1
28,16,0.0,11.6,5,1
28,16,0.0,11.6,5,1
28,16,0.0,11.6,5,1
28,16,0.0,11.6,5,1
28,13,0.0,11.6,5,1
28,13,0.0,11.6,5,1
28,13,0.0,11.6,5,1
28,13,0.0,11.6,5,1
28,13,0.0,11.6,5,1
28,13,0.0,11.6,5,1
28,13,0.0,11.6,5,5
28,13,0.0,11.6,5,6
28,13,0.0,11.6,5,6
28,13,0.0,11.6,5,7
28,13,0.0,11.6,5,7
28,13,0.0,11.6,5,7
28,13,0.0,11.6,5,7
28,13,0.0,11.6,5,7
28,13,0.0,11.6,5,6
28,13,0.0,11.6,5,6
28,13,0.0,11.6,5,6
28,13,0.0,11.6,5,5
28,13,0.0,11.6,5,5
28,13,0.0,11.6,5,1
28,13,0.0,11.6,5,1
28,13,0.0,11.6,5,1
28,13,0.0,11.6,5,1
28,13,0.0,11.6,5,1
26,15,0.0,10.2,5,1
26,15,0.0,10.2,5,1
26,15,0.0,10.2,5,1
26,15,0.0,10.2,5,1
26,15,0.0,10.2,5,1
26,15,0.0,10.2,5,1
26,15,0.0,10.2,5,4
26,15,0.0,10.2,5,4
26,15,0.0,10.2,5,6
26,15,0.0,10.2,5,7
26,15,0.0,10.2,5,7
26,15,0.0,10.2,5,5
26,15,0.0,10.2,5,5
26,15,0.0,10.2,5,5
26,15,0.0,10.2,5,6
26,15,0.0,10.2,5,6
26,15,0.0,10.2,5,6
26,15,0.0,10.2,5,4
26,15,0.0,10.2,5,4
26,15,0.0,10.2,5,1
26,15,0.0,10.2,5,1
26,15,0.0,10.2,5,1
26,15,0.0,10.2,5,1
26,15,0.0,10.2,5,1
25,18,0.0,7.3,6,1
25,18,0.0,7.3,6,1
25,18,0.0,7.3,6,1
25,18,0.0,7.3,6,1
25,18,0.0,7.3,6,1
25,18,0.0,7.3,6,1
25,18,0.0,7.3,6,4
25,18,0.0,7.3,6,4
25,18,0.0,7.3,6,5
25,18,0.0,7.3,6,5
25,18,0.0,7.3,6,5
25,18,0.0,7.3,6,5
25,18,0.0,7.3,6,6
25,18,0.0,7.3,6,5
25,18,0.0,7.3,6,5
25,18,0.0,7.3,6,5
25,18,0.0,7.3,6,5
25,18,0.0,7.3,6,4
25,18,0.0,7.3,6,4
25,18,0.0,7.3,6,1
25,18,0.0,7.3,6,1
25,18,0.0,7.3,6,1
25,18,0.0,7.3,6,1
25,18,0.0,7.3,6,1
27,17,0.0,11.6,6,1
27,17,0.0,11.6,6,1
27,17,0.0,11.6,6,1
27,17,0.0,11.6,6,1
27,17,0.0,11.6,6,1
27,17,0.0,11.6,6,1
27,17,0.0,11.6,6,6
27,17,0.0,11.6,6,6
27,17,0.0,11.6,6,6
27,17,0.0,11.6,6,7
27,17,0.0,11.6,6,7
27,17,0.0,11.6,6,7
27,17,0.0,11.6,6,7
27,17,0.0,11.6,6,7
27,17,0.0,11.6,6,6
27,17,0.0,11.6,6,6
27,17,0.0,11.6,6,6
27,17,0.0,11.6,6,6
27,17,0.0,11.6,6,6
27,17,0.0,11.6,6,1
27,17,0.0,11.6,6,1
27,17,0.0,11.6,6,1
27,17,0.0,11.6,6,1
27,17,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,5
27,16,0.0,11.6,6,6
27,16,0.0,11.6,6,6
27,16,0.0,11.6,6,7
27,16,0.0,11.6,6,7
27,16,0.0,11.6,6,7
27,16,0.0,11.6,6,7
27,16,0.0,11.6,6,7
27,16,0.0,11.6,6,6
27,16,0.0,11.6,6,6
27,16,0.0,11.6,6,6
27,16,0.0,11.6,6,6
27,16,0.0,11.6,6,5
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,16,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,5
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,5
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,7
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,6
27,15,0.0,11.6,6,5
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
27,15,0.0,11.6,6,1
26,14,0.0,11.6,5,1
26,14,0.0,11.6,5,1
26,14,0.0,11.6,5,1
26,14,0.0,11.6,5,1
26,14,0.0,11.6,5,1
26,14,0.0,11.6,5,1
26,14,0.0,11.6,5,5
26,14,0.0,11.6,5,6
26,14,0.0,11.6,5,6
26,14,0.0,11.6,5,6
26,14,0.0,11.6,5,7
26,14,0.0,11.6,5,7
26,14,0.0,11.6,5,7
26,14,0.0,11.6,5,6
26,14,0.0,11.6,5,6
26,14,0.0,11.6,5,6
26,14,0.0,11.6,5,6
26,14,0.0,11.6,5,6
26,14,0.0,11.6,5,5
26,14,0.0,11.6,5,1
26,14,0.0,11.6,5,1
26,14,0.0,11.6,5,1
26,14,0.0,11.6,5,1
26,14,0.0,11.6,5,1
25,14,0.0,10.2,4,1
25,14,0.0,10.2,4,1
25,14,0.0,10.2,4,1
25,14,0.0,10.2,4,1
25,14,0.0,10.2,4,1
25,14,0.0,10.2,4,1
25,14,0.0,10.2,4,5
25,14,0.0,10.2,4,5
25,14,0.0,10.2,4,5
25,14,0.0,10.2,4,5
25,14,0.0,10.2,4,5
25,14,0.0,10.2,4,6
25,14,0.0,10.2,4,6
25,14,0.0,10.2,4,6
25,14,0.0,10.2,4,6
25,14,0.0,10.2,4,6
25,14,0.0,10.2,4,6
25,14,0.0,10.2,4,6
25,14,0.0,10.2,4,6
25,14,0.0,10.2,4,1
25,14,0.0,10.2,4,1
25,14,0.0,10.2,4,1
25,14,0.0,10.2,4,1
25,14,0.0,10.2,4,1
27,14,0.0,11.6,5,1
27,14,0.0,11.6,5,1
27,14,0.0,11.6,5,1
27,14,0.0,11.6,5,1
27,14,0.0,11.6,5,1
27,14,0.0,11.6,5,1
27,14,0.0,11.6,5,5
27,14,0.0,11.6,5,6
27,14,0.0,11.6,5,6
27,14,0.0,11.6,5,6
27,14,0.0,11.6,5,7
27,14,0.0,11.6,5,7
27,14,0.0,11.6,5,7
27,14,0.0,11.6,5,7
27,14,0.0,11.6,5,6
27,14,0.0,11.6,5,6
27,14,0.0,11.6,5,6
27,14,0.0,11.6,5,6
27,14,0.0,11.6,5,5
27,14,0.0,11.6,5,1
27,14,0.0,11.6,5,1
27,14,0.0,11.6,5,1
27,14,0.0,11.6,5,1
27,14,0.0,11.6,5,1
27,15,0.0,11.6,5,1
27,15,0.0,11.6,5,1
27,15,0.0,11.6,5,1
27,15,0.0,11.6,5,1
27,15,0.0,11.6,5,1
27,15,0.0,11.6,5,1
27,15,0.0,11.6,5,5
27,15,0.0,11.6,5,6
27,15,0.0,11.6,5,6
27,15,0.0,11.6,5,7
27,15,0.0,11.6,5,7
27,15,0.0,11.6,5,7
27,15,0.0,11.6,5,7
27,15,0.0,11.6,5,7
27,15,0.0,11.6,5,6
27,15,0.0,11.6,5,6
27,15,0.0,11.6,5,6
27,15,0.0,11.6,5,6
27,15,0.0,11.6,5,5
27,15,0.0,11.6,5,1
27,15,0.0,11.6,5,1
27,15,0.0,11.6,5,1
27,15,0.0,11.6,5,1
27,15,0.0,11.6,5,1
27,13,0.0,11.6,4,1
27,13,0.0,11.6,4,1
27,13,0.0,11.6,4,1
27,13,0.0,11.6,4,1
27,13,0.0,11.6,4,1
27,13,0.0,11.6,4,1
27,13,0.0,11.6,4,5
27,13,0.0,11.6,4,6
27,13,0.0,11.6,4,6
27,13,0.0,11.6,4,7
27,13,0.0,11.6,4,7
27,13,0.0,11.6,4,7
27,13,0.0,11.6,4,7
27,13,0.0,11.6,4,7
27,13,0.0,11.6,4,7
27,13,0.0,11.6,4,6
27,13,0.0,11.6,4,6
27,13,0.0,11.6,4,6
27,13,0.0,11.6,4,5
27,13,0.0,11.6,4,1
27,13,0.0,11.6,4,1
27,13,0.0,11.6,4,1
27,13,0.0,11.6,4,1
27,13,0.0,11.6,4,1
27,13,0.0,11.6,5,1
27,13,0.0,11.6,5,1
27,13,0.0,11.6,5,1
27,13,0.0,11.6,5,1
27,13,0.0,11.6,5,1
27,13,0.0,11.6,5,1
27,13,0.0,11.6,5,5
27,13,0.0,11.6,5,5
27,13,0.0,11.6,5,6
27,13,0.0,11.6,5,7
27,13,0.0,11.6,5,7
27,13,0.0,11.6,5,7
27,13,0.0,11.6,5,7
27,13,0.0,11.6,5,7
27,13,0.0,11.6,5,7
27,13,0.0,11.6,5,6
27,13,0.0,11.6,5,6
27,13,0.0,11.6,5,6
27,13,0.0,11.6,5,5
27,13,0.0,11.6,5,1
27,13,0.0,11.6,5,1
27,13,0.0,11.6,5,1
27,13,0.0,11.6,5,1
27,13,0.0,11.6,5,1
28,15,0.0,11.6,6,1
28,15,0.0,11.6,6,1
28,15,0.0,11.6,6,1
28,15,0.0,11.6,6,1
28,15,0.0,11.6,6,1
28,15,0.0,11.6,6,1
28,15,0.0,11.6,6,5
28,15,0.0,11.6,6,6
28,15,0.0,11.6,6,6
28,15,0.0,11.6,6,7
28,15,0.0,11.6,6,7
28,15,0.0,11.6,6,7
28,15,0.0,11.6,6,7
28,15,0.0,11.6,6,7
28,15,0.0,11.6,6,7
28,15,0.0,11.6,6,6
28,15,0.0,11.6,6,6
28,15,0.0,11.6,6,6
28,15,0.0,11.6,6,5
28,15,0.0,11.6,6,1
28,15,0.0,11.6,6,1
28,15,0.0,11.6,6,1
28,15,0.0,11.6,6,1
28,15,0.0,11.6,6,1
28,13,0.0,11.6,6,1
28,13,0.0,11.6,6,1
28,13,0.0,11.6,6,1
28,13,0.0,11.6,6,1
28,13,0.0,11.6,6,1
28,13,0.0,11.6,6,1
28,13,0.0,11.6,6,5
28,13,0.0,11.6,6,6
28,13,0.0,11.6,6,6
28,13,0.0,11.6,6,7
28,13,0.0,11.6,6,7
28,13,0.0,11.6,6,7
28,13,0.0,11.6,6,7
28,13,0.0,11.6,6,7
28,13,0.0,11.6,6,7
28,13,0.0,11.6,6,6
28,13,0.0,11.6,6,6
28,13,0.0,11.6,6,6
28,13,0.0,11.6,6,5
28,13,0.0,11.6,6,1
28,13,0.0,11.6,6,1
28,13,0.0,11.6,6,1
28,13,0.0,11.6,6,1
28,13,0.0,11.6,6,1
30,12,0.0,11.6,5,1
30,12,0.0,11.6,5,1
30,12,0.0,11.6,5,1
30,12,0.0,11.6,5,1
30,12,0.0,11.6,5,1
30,12,0.0,11.6,5,1
30,12,0.0,11.6,5,5
30,12,0.0,11.6,5,6
30,12,0.0,11.6,5,6
30,12,0.0,11.6,5,7
30,12,0.0,11.6,5,7
30,12,0.0,11.6,5,7
30,12,0.0,11.6,5,7
30,12,0.0,11.6,5,7
30,12,0.0,11.6,5,7
30,12,0.0,11.6,5,7
30,12,0.0,11.6,5,6
30,12,0.0,11.6,5,6
30,12,0.0,11.6,5,5
